ocid,titre,organisme,nb_signaux,signaux,montant,url_seao
ocds-ec9k95-1382362,55430-Étable stabul libre  Pavillon 700- Étable - Stabulation libre,Université de Montréal - Direction des immeubles,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",439576.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=31bd74a2-0f68-4ed7-82a0-a65ec9e1f5ab
ocds-ec9k95-1740623,Expertise en production piscicole et en hydrobiologie,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",438807.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=108433dd-113d-4b57-8f1f-5a631bbbb470
ocds-ec9k95-1453559,"Réfection des salles de toilettes de la cafétéria, remplacement des fenêtres de la section arrière et réfection du stationnement avant à l'école la Jeunesse située à Sainte-Perpétue",Centre de services scolaire de la Riveraine,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",408800.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=399959d1-04be-4155-9024-cbcd4c5a8249
ocds-ec9k95-1484766,"Remplacement de lave-vaisselles industriels - 800, boulevard Gouin Ouest, Montréal (Québec) H3L 1K7",SQI-Direction immobilière Nord de Montréal,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",392000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=28b79def-712c-4cbf-92ed-12be0d2dbd1e
ocds-ec9k95-20083227,Installation d’une visiocomparution et régie,SQI-Direction immobilière de l'Estrie et de la Montérégie,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",371600.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=c217f750-9f3f-4f27-b424-94d210cfa6b4
ocds-ec9k95-1589997,"ÉCOLE JACQUES-BUTEAUX - RÉFECTION CORRIDORS, PLAFONDS ET AUTRES TRAVAUX",Centre de services scolaire de l'Énergie,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",334688.32,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=bcec36d5-b166-4ea8-b8d1-b3b54fd21219
ocds-ec9k95-20039548,Ressource intermédiaire -RI 6 places jeunesse FRIJQ DI_TSA,Santé Québec Laval,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",328404.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=932dd135-e0c4-43a3-aac9-f7e8af65ff76
ocds-ec9k95-1382967,Réaménagement salle no. 2 (SB-F-45) suite au remplacement des équipements d'imagerie médicale,Centre intégré de santé et de services sociaux de Lanaudière,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",325000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=6f0f8798-2a1d-4b5a-8ead-6ef125763495
ocds-ec9k95-1251791,Saint-Barthélemy - Réfection des planchers,Centre de services scolaire des Sommets,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",319365.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=bff203cf-c6ea-4809-be68-05f8b03e5d48
ocds-ec9k95-20002532,Francisation à temps partiel auprès de groupes d'immigrantes et d'immigrants,"Ministère de l'Immigration, de la Francisation et de l'Intégration",3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",315955.2,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=110f4e6f-b954-485c-8432-105651240d50
ocds-ec9k95-1263954,Val-de-Grâce_Réfection des Blocs sanitaires,Centre de services scolaire des Sommets,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",304000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=632cae62-8217-47c6-85c7-af24e37ff64f
ocds-ec9k95-1803813,"Lot 10.264 – Travaux entrée électrique -  Espace Bleu - Capitale-Nationale (Québec) - Pavillon Camille-Roy  au 3, rue de la Vieille-Université, Québec (Québec)",Société québécoise des infrastructures,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",288000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=54bce018-3a39-4586-8155-180179001159
ocds-ec9k95-1614055,Réfection de l'entrée électrique à l'école secondaire Paul-Le-Jeune de Saint-Tite,Centre de services scolaire de l'Énergie,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",277000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=11996392-3451-488f-905e-98515d296269
ocds-ec9k95-1212816,"Services professionnels en génie mécanique et électricité, Montée Ste-Odile, Rimouski-Neigette",Société québécoise des infrastructures,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",276743.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=19d1362a-6780-4d80-9f4f-f63a69510bcd
ocds-ec9k95-703316,"Métaux ouvrés - Lot 5.2 Rénovation, agrandissement et réaménagement du Palais de justice de Montmagny au 25, rue du Palais-de-justice, Montmagny (QC)",Société québécoise des infrastructures,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",267600.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=5a8957e5-f36b-42cd-9eb4-db432b3c208a
